id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	q74#1	q74#2	q74#3	q74#4	q74#5	q74#6	q74#7	q74#8	q74#9	q65#13	q65#17	q65#18	q40_23	q75_1	q78_1
146	21	2	13	3	1	1	2	2	3	3	3	2	1	16	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	300	420
147	81	5	15	5	1	2	1	2	3	2	3	6	2	22	1	3	0	1	1	0	0	0	0	1	0	1	0	0	1	120	240
148	31	1	12	4	1	2	2	2	6	2	2	2	2	21	1	3	0	1	1	0	0	0	0	0	0	1	0	1	5	20	60
149	61	1	14	4	1	2	2	1	4	2	4	2	1	14	1	3	1	1	1	0	1	0	0	0	0	1	1	0	3	25	25
150	62	2	15	2	1	2	1	1	6	2	3	9	1	15	1	8	1	1	1	0	1	1	0	1	0	1	1	0	1	240	60
151	11	6	14	4	1	1	1	1	1	1	1	1	2	 	1	5	1	1	0	0	0	0	0	1	1	1	0	0	1	100	120
152	42	3	18	4	1	1	2	1	5	2	4	2	1	18	1	6	1	1	1	0	0	1	0	0	0	1	1	0	1	90	180
153	42	3	20	2	1	1	3	2	5	4	3	2	1	21	1	8	0	0	0	0	0	0	1	0	0	1	0	0	5	400	350
154	31	2	14	4	1	1	2	2	1	1	2	1	2	31	1	8	0	1	1	0	1	0	0	1	0	1	0	0	1	60	120
155	62	3	20	1	1	2	1	2	6	5	3	9	1	20	1	2	1	1	0	1	1	1	1	0	0	1	0	0	1	120	300
156	71	2	14	5	1	1	1	1	4	2	4	2	1	14	1	2	1	1	1	0	1	0	0	0	0	1	1	0	2	60	20
157	42	5	17	4	1	2	1	2	4	2	3	2	1	17	1	6	1	1	1	1	0	0	0	0	0	0	1	0	4	30	60
158	11	6	12	4	1	1	1	1	5	2	3	2	1	12	1	6	1	1	1	0	0	1	0	1	0	1	1	1	1	240	120
159	51	2	15	3	2	2	1	1	4	1	4	2	1	17	1	6	1	1	1	0	0	1	0	1	0	1	0	1	1	120	120
160	71	2	12	3	1	1	1	1	6	2	3	9	1	20	1	3	1	1	1	0	0	0	0	0	0	1	1	0	4	10	10
161	41	2	15	5	1	2	1	1	1	1	1	1	1	 	1	2	1	1	0	1	0	1	0	1	1	1	1	0	1	200	300
162	11	6	15	3	1	1	1	1	4	2	2	2	1	19	1	4	1	1	1	0	0	0	0	0	1	1	1	1	1	150	200
163	11	6	14	2	2	1	1	2	2	2	4	2	2	17	1	6	1	1	0	0	1	0	0	1	0	1	1	0	1	200	20
164	81	3	16	4	1	2	3	2	2	1	3	1	2	 	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	500	700
165	81	4	20	4	1	2	3	2	4	2	1	6	2	 	1	3	0	0	0	1	0	0	1	0	0	1	1	0	1	120	180
